,bound,precision,recall,fscore
0,0.5,0.7385738573857386,0.8963466440101954,0.8098475710055928
1,0.53,0.7799765932546016,0.8897924505401141,0.8312733870053294
2,0.56,0.8302079781793386,0.8866367277582231,0.8574950111515436
3,0.59,0.8659592633247957,0.861755067362544,0.8638520501277527
4,0.62,0.8844584813791289,0.8157543391188251,0.8487182725091552
5,0.65,0.9011287326760966,0.7655055225148684,0.8277989237432734
6,0.6799999999999999,0.91359375,0.7096735040660275,0.7988250563563084
7,0.71,0.9239524055871702,0.6503216409758465,0.7633566035047727
8,0.74,0.9347951529140219,0.5898774123073188,0.7233219229051943
9,0.77,0.9404218308327897,0.5249423473722539,0.673780962766786
10,0.8,0.9472368092023006,0.45976453453088967,0.6190554012093479
