,p,precision,recall,fscore
0,0.5,0.8391993096006254,0.8374,0.834855409338615
1,0.55,0.8523145921963491,0.85,0.8476525916407889
2,0.6,0.8622030989153471,0.8595,0.8573012608368723
3,0.65,0.8667830388694092,0.8639,0.8617701181487424
4,0.7,0.870217993834956,0.8672,0.865121761132645
5,0.75,0.8715711579122927,0.8685,0.8664421053384249
6,0.8,0.8718834265455242,0.8688,0.8667468001551433
7,0.85,0.8704261729237771,0.8674,0.8653248910104572
8,0.9,0.8678239343135145,0.8649,0.8627857675378038
